name,team,avg,g,pa,ab,r,h,2b,3b,hr,tb,rbi,sac,sf,xbh,go,ao,go/ao,gw rbi,bb/k,p/pa,isop,xr,gpa
김민혁,kt,0.103,26,31,29,3,3,1,0,0,4,0,0,0,1,8,10,0.8,0,0.25,4,0.034,0,0.107
김만수,kt,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-,0,-,6,0,-0.5,0
김사율,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김재윤,kt,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
박세진,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
배우열,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
심재민,kt,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
엄상백,kt,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
정성곤,kt,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,3,0,-0.1,0
정주후,kt,0,12,3,3,4,0,0,0,0,0,0,0,0,0,2,0,-,0,0,3,0,-0.3,0
홍성무,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
홍성용,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
이병규,LG,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,-,0,-,2,0,0.5,0.7
조윤준,LG,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-,0,-,3,0,0.5,0.7
박용택,LG,0.346,138,578,509,84,176,24,0,11,233,90,0,7,35,145,124,1.17,10,0.82,3.89,0.112,90.7,0.3
백창수,LG,0.333,10,21,18,4,6,2,0,1,11,3,0,0,3,3,3,1,0,0.33,4.19,0.278,3.6,0.346
손주인,LG,0.322,122,409,354,47,114,20,3,2,146,39,12,4,25,91,118,0.77,3,0.94,3.86,0.09,55.6,0.276
정성훈,LG,0.322,126,418,370,58,119,22,1,6,161,64,5,5,29,118,79,1.49,4,0.56,4.02,0.114,59.2,0.28
김용의,LG,0.318,105,347,308,62,98,18,4,1,127,20,4,0,23,90,56,1.61,0,0.55,3.85,0.094,47.7,0.278
채은성,LG,0.313,128,451,403,64,126,20,3,9,179,81,2,8,32,111,99,1.12,10,0.41,3.79,0.132,64.5,0.275
히메네스,LG,0.308,135,579,523,101,161,36,0,26,275,102,1,6,62,117,184,0.64,7,0.58,3.67,0.218,95.9,0.295
이천웅,LG,0.293,103,320,276,38,81,10,1,6,111,41,6,1,17,83,64,1.3,3,0.69,3.91,0.109,41.2,0.27
문선재,LG,0.288,52,127,111,28,32,3,2,7,60,16,5,1,12,17,34,0.5,0,0.34,3.99,0.252,21.5,0.29
이형종,LG,0.282,61,147,124,14,35,4,2,1,46,14,5,1,7,35,35,1,2,0.75,3.84,0.089,17.7,0.257
오지환,LG,0.28,121,472,393,73,110,14,5,20,194,78,2,5,39,101,90,1.12,3,0.67,4.22,0.214,77.3,0.298
양석환,LG,0.276,80,215,203,24,56,10,1,6,86,37,3,2,17,33,68,0.49,4,0.13,3.91,0.148,26.2,0.24
이병규,LG,0.272,103,350,290,43,79,12,2,7,116,37,0,3,21,57,76,0.75,4,0.58,4.1,0.128,48.9,0.275
안익훈,LG,0.267,68,52,45,13,12,0,1,0,14,4,1,0,1,13,11,1.18,0,0.67,4.85,0.044,5.4,0.237
유강남,LG,0.266,100,297,263,28,70,7,0,8,101,47,4,6,15,56,95,0.59,7,0.35,3.63,0.118,34.6,0.24
임훈,LG,0.261,60,198,180,20,47,4,0,1,54,14,4,0,5,66,41,1.61,0,0.46,3.87,0.039,16,0.216
박재욱,LG,0.255,26,50,47,5,12,2,0,0,14,4,1,0,2,19,7,2.71,0,0.22,3.64,0.043,2.8,0.203
서상우,LG,0.252,56,137,111,18,28,5,0,4,45,12,0,0,9,22,24,0.92,0,0.68,4.26,0.153,19.7,0.279
정주현,LG,0.222,99,257,225,30,50,12,1,1,67,22,2,2,14,66,45,1.47,3,0.42,3.93,0.076,22.1,0.212
윤진호,LG,0.19,34,23,21,3,4,0,0,0,4,0,2,0,0,8,3,2.67,0,0,3.78,0,0.3,0.133
강승호,LG,0.184,18,41,38,4,7,3,0,0,10,3,0,1,3,9,11,0.82,0,0.17,4.17,0.079,2.3,0.165
정상호,LG,0.182,77,159,132,12,24,5,0,1,32,10,4,2,6,31,40,0.78,2,0.44,4.05,0.061,11,0.191
황목치승,LG,0.179,48,39,39,7,7,3,0,0,10,4,0,0,3,15,8,1.88,0,0,3.72,0.077,0.9,0.145
최경철,LG,0.156,29,52,45,3,7,2,0,0,9,2,2,0,2,12,10,1.2,0,0.25,4.08,0.044,2.2,0.158
장준원,LG,0.077,14,15,13,2,1,0,0,0,1,0,0,0,0,4,5,0.8,0,0.67,3.73,0,0.1,0.109
김대현,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
김지성,LG,0,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,-,0,-,3.33,0,-0.6,0
박성준,LG,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,4,0,-0.1,0
소사,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
윤지웅,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
이승현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
임정우,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
정현욱,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
진해수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
최동환,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
홍창기,LG,0,3,5,4,0,0,0,0,0,0,0,0,0,0,3,1,3,0,-,5,0,0,0.09
김태진,NC,0.5,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,-,6,0,0.4,0.35
박광열,NC,0.4,13,15,15,0,6,0,0,0,6,0,0,0,0,1,5,0.2,0,0,3.53,0,1.8,0.28
박민우,NC,0.343,121,515,435,84,149,16,6,3,186,55,10,7,25,136,87,1.56,2,0.79,4.06,0.085,80.5,0.296
조영훈,NC,0.335,109,207,179,29,60,14,0,5,89,35,1,3,19,31,48,0.65,3,0.49,3.83,0.162,34.8,0.308
모창민,NC,0.331,63,147,133,16,44,8,0,5,67,20,1,3,13,35,33,1.06,3,0.38,3.59,0.173,22.1,0.293
테임즈,NC,0.321,123,529,436,118,140,30,3,40,296,121,0,7,73,74,126,0.59,12,0.72,4.04,0.358,120,0.362
