,home_team,home_score,pitcher_home,hitter_home,away_team,away_score,pitcher_away,hitter_away
46,NEXEN,4,오주원,"고종욱, 김태완, 김웅빈, 이택근, 대니돈, 김하성, 채태인, 김재현, 김지수",KT,2,고영표,"오정복, 심우준, 장성우, 김동욱, 김사연, 이해창, 홍현빈, 박경수, 모넬"
47,SK,6,박종훈,"김동엽, 한동민, 나주환, 최정용, 이대수, 정의윤, 이재원, 김강민, 조용호",LG,10,임찬규,"손주인, 히메네스, 이병규, 강승호, 박용택, 채은성, 정상호, 이형종, 유강남"
48,LOTTE,0,박시영,"번즈, 손아섭, 신본기, 전준우, 이대호, 김대우, 이우민, 강민호, 김문호",NC,3,구창모,"도태훈, 스크럭스, 모창민, 권희동, 조평호, 지석훈, 김성욱, 나성범, 김태군"
49,DOOSAN,5,함덕주,"정진호, 류지혁, 허경민, 에반스, 국해성, 최주환, 오재원, 황경태, 김인태",SAMSUNG,2,레나도,"김헌곤, 러프, 박해민, 이승엽, 성의준, 구자욱, 이원석, 백상원, 이지영"
50,SK,4,켈리,"조용호, 이명기, 최정, 정의윤, 박정권, 김동엽, 박승욱, 이재원, 김성현",HANHWA,3,비야누에바,"김주현, 장민석, 로사리오, 송광민, 이성열, 강경학, 임익준, 최진행, 정현석"
51,LOTTE,3,박진형,"전준우, 이우민, 번즈, 손아섭, 이대호, 최준석, 강민호, 신본기, 오승택",KT,6,로치,"장성우, 모넬, 이대형, 하준호, 유한준, 박기혁, 심우준, 윤요섭, 김연훈"
52,DOOSAN,2,니퍼트,"오재원, 김재환, 에반스, 오재일, 민병헌, 양의지, 허경민, 김재호, 박건우",LG,1,윤지웅,"김용의, 서상우, 히메네스, 이병규, 최재원, 유강남, 박용택, 채은성, 오지환"
53,NEXEN,6,밴헤켄,"윤석민, 김민성, 이정후, 채태인, 서건창, 고종욱, 김웅빈, 이택근, 허정협",SAMSUNG,7,우규민,"김헌곤, 구자욱, 안주형, 러프, 김상수, 배영섭, 우동균, 이원석, 이지영"
54,SK,4,다이아몬드,"정의윤, 박정권, 이명기, 이대수, 조용호, 김강민, 정진기, 김성현, 최정용",HANHWA,5,오간도,"이양기, 송광민, 임익준, 김주현, 최진행, 차일목, 강경학, 로사리오, 양성우"
55,KIA,5,팻딘,"최병연, 신범수, 최원준, 이홍구, 홍재호, 류승현, 신종길, 이인행, 이준호",NC,4,맨쉽,"김성욱, 나성범, 스크럭스, 박석민, 조평호, 도태훈, 지석훈, 권희동, 김태군"
