name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김상수,넥센,4.62,67,6,5,0,21,0.545,74,77,6,34,1,76,40,38,1.5,4.62,0,0,6,4,29,0,3,70,70,1
금민철,넥센,5.13,14,1,1,0,0,0.5,26 1/3,36,2,9,1,16,16,15,1.71,5.13,2,0,1,8,0,0,1,37,23,1.61
맥그레거,넥센,5.2,14,6,3,0,0,0.667,90,108,13,20,2,61,56,52,1.42,5.2,14,6,0,0,0,0,9,119,74,1.61
김정훈,넥센,5.26,34,1,5,0,0,0.167,63 1/3,71,9,29,6,28,44,37,1.58,5.26,4,1,0,11,0,0,6,58,90,0.64
박주현,넥센,6.35,30,7,5,0,0,0.583,119,153,19,37,8,71,89,84,1.6,6.35,23,6,1,3,0,0,13,109,153,0.71
정회찬,넥센,6.52,11,0,0,0,0,-,9 2/3,8,0,9,2,2,7,7,1.76,6.52,0,0,0,5,1,0,1,9,17,0.53
이정훈,넥센,7,15,0,3,0,1,0,18,32,3,5,0,8,14,14,2.06,7,0,0,0,10,1,0,3,22,19,1.16
최원태,넥센,7.23,17,2,3,0,0,0.4,61,89,6,23,6,42,51,49,1.84,7.23,11,2,0,3,0,0,4,61,70,0.87
김택형,넥센,7.62,32,2,2,0,7,0.5,28 1/3,41,6,11,0,35,26,24,1.84,7.62,0,0,2,2,11,0,1,32,13,2.46
양훈,넥센,8.28,20,1,6,0,0,0.143,70 2/3,119,10,27,1,24,71,65,2.07,8.28,13,1,0,3,0,0,7,94,79,1.19
강윤구,넥센,18,1,0,0,0,0,-,1,1,1,1,0,0,2,2,2,18,1,0,0,0,0,0,0,1,2,0.5
박정준,넥센,19.29,7,0,0,0,0,-,4 2/3,8,0,6,1,3,10,10,3,19.29,0,0,0,4,0,0,0,6,5,1.2
이용찬,두산,2.7,5,1,0,0,2,1,6 2/3,7,0,0,0,5,2,2,1.05,2.7,0,0,1,3,2,0,1,8,6,1.33
니퍼트,두산,2.95,28,22,3,0,0,0.88,167 2/3,151,15,57,9,142,61,55,1.24,2.95,27,21,1,1,0,0,13,171,164,1.04
정재훈,두산,3.27,46,1,5,2,23,0.167,52 1/3,43,3,17,5,56,21,19,1.15,3.27,0,0,1,6,32,0,4,42,55,0.76
장원준,두산,3.32,27,15,6,0,0,0.714,168,161,14,76,9,137,66,62,1.41,3.32,27,15,0,0,0,0,22,196,141,1.39
보우덴,두산,3.8,30,18,7,0,0,0.72,180,159,17,54,6,160,83,76,1.18,3.8,30,18,0,1,0,0,14,162,189,0.86
윤명준,두산,3.95,55,4,0,2,11,1,57,51,5,17,3,39,25,25,1.19,3.95,0,0,4,9,17,1,3,74,53,1.4
유희관,두산,4.41,30,15,6,0,0,0.714,185 2/3,212,22,58,6,102,95,91,1.45,4.41,29,15,0,0,0,0,19,188,231,0.81
이현승,두산,4.84,56,1,4,25,1,0.2,57 2/3,65,8,17,7,41,36,31,1.42,4.84,0,0,1,42,34,2,4,71,56,1.27
진야곱,두산,4.94,55,5,2,1,4,0.714,62,68,8,40,1,56,38,34,1.74,4.94,2,0,5,15,8,0,4,65,59,1.1
김강률,두산,5.14,25,0,2,0,4,0,28,31,2,17,2,21,18,16,1.71,5.14,0,0,0,5,5,0,7,34,19,1.79
홍상삼,두산,5.25,11,0,1,5,1,0,12,12,0,9,0,17,7,7,1.75,5.25,0,0,0,6,7,0,1,5,11,0.45
박성민,두산,5.4,4,0,0,0,0,-,3 1/3,5,1,2,0,3,2,2,2.1,5.4,0,0,0,2,0,0,1,3,2,1.5
이용호,두산,5.4,1,0,0,0,0,-,1 2/3,3,0,1,0,0,1,1,2.4,5.4,0,0,0,0,0,0,1,2,3,0.67
고원준,두산,5.47,14,1,1,0,1,0.5,24 2/3,31,2,11,5,21,15,15,1.7,5.47,4,1,0,5,2,0,2,23,23,1
허준혁,두산,5.64,28,4,7,0,0,0.364,89 1/3,106,17,39,7,56,61,56,1.62,5.64,15,4,0,2,2,0,8,116,84,1.38
김성배,두산,6.03,39,0,1,1,5,0,37 1/3,59,5,19,2,27,26,25,2.09,6.03,0,0,0,10,11,0,6,37,40,0.93
오현택,두산,6.1,20,1,0,0,4,1,20 2/3,29,3,3,2,17,14,14,1.55,6.1,0,0,1,3,5,0,4,20,19,1.05
고봉재,두산,6.17,25,3,0,0,0,1,23 1/3,32,1,2,3,18,17,16,1.46,6.17,0,0,3,12,1,0,5,23,23,1
함덕주,두산,6.23,15,0,0,0,0,-,8 2/3,10,0,11,0,7,6,6,2.42,6.23,0,0,0,3,3,0,1,9,8,1.13
안규영,두산,6.61,16,1,2,0,0,0.333,47 2/3,73,6,24,4,24,36,35,2.03,6.61,9,1,0,0,0,0,9,44,58,0.76
이현호,두산,7.09,41,0,2,0,0,0,47,63,5,20,5,32,37,37,1.77,7.09,1,0,0,12,2,0,4,44,57,0.77
홍영현,두산,7.11,6,1,0,0,0,1,6 1/3,9,1,6,0,6,6,5,2.37,7.11,0,0,1,1,1,0,2,8,4,2
강동연,두산,8.22,11,0,0,0,0,-,7 2/3,9,2,6,0,6,8,7,1.96,8.22,0,0,0,7,1,0,0,9,5,1.8
조승수,두산,10.8,7,0,0,0,0,-,8 1/3,13,2,4,4,2,10,10,2.04,10.8,0,0,0,3,0,0,1,9,14,0.64
이정민,롯데,3.16,67,5,2,2,9,0.714,77,83,6,21,5,60,29,27,1.35,3.16,0,0,5,14,9,0,12,83,69,1.2
배장호,롯데,3.8,19,0,0,0,1,-,23 2/3,26,1,10,4,11,10,10,1.52,3.8,0,0,0,3,1,0,4,30,23,1.3
